,SPI Swiss Performance Index - Index total (including dividend reinvestment),SPI Swiss Performance Index - Banks,SPI Swiss Performance Index - Financial services,SPI Swiss Performance Index - Insurance,SPI Swiss Performance Index - Food and beverages,SPI Swiss Performance Index - Health care,SPI Swiss Performance Index - Registered shares,SPI Swiss Performance Index - Bearer shares and participation certificates,SMI Swiss Market Index (excluding dividend reinvestment)
ALC,-0.3716560754750268,0.40496470275079827,-0.3776179309407291,0.08764980579705388,-0.4823189673835755,-0.5159111068078519,-0.2906445041265368,-0.6054280426114879,-0.286104838959928
SIGN,0.5554671394058794,-0.11961982646223182,0.5859777037109227,0.5577789995649074,0.454538528858621,0.5555542781716134,0.5684504434703637,0.5070297762646494,0.5168967225545902
CEVA,-0.7905643683121669,0.5086042597631918,-0.7861690229643388,-0.7448246039289906,-0.8661623437439009,-0.7598023870029306,-0.7833353920200891,-0.7889735907710658,-0.6461747048588878
MED,-0.8194021956170254,0.7070974014878618,-0.768758130312321,-0.5874191194215772,-0.9137233107190728,-0.8427339612193322,-0.7869315495433383,-0.8831759256875487,-0.6337462501723751
SENS,0.4778197932417335,-0.21473136523340203,0.46045527166738476,0.5329234984471705,0.480840976595823,0.5132561461271605,0.4658843906643908,0.4989642314790842,0.40382452723175655
LAND,-0.21528748216858087,-0.4073537254493788,-0.2157346987451658,-0.2914600488851973,-0.1768263930639823,-0.15464982717747675,-0.2299215895572722,-0.1624918675239485,-0.1431533750508227
GALE,0.6922173532806137,-0.05863069555741743,0.6536427966948948,0.6739170788488845,0.6741634540775232,0.7513475824318243,0.6825797901145155,0.7206303950667867,0.7041770067410339
PLAN,-0.6813045037545367,0.3714936104367838,-0.6813919721565773,-0.4371277126179987,-0.5199690361906507,-0.5431744032520217,-0.6848797746879461,-0.49286695181837087,-0.6284414753782651
BRG,0.6097167768322554,-0.1494958767696579,0.640114775487053,0.5726927417111931,0.5929541724190293,0.5972332303231962,0.5997554171608964,0.5956992296187346,0.46474720661850705
RARE,-0.2726805375377866,0.12471598776748814,-0.2329100319597457,-0.1625679099366382,-0.25396323890760286,-0.3451396738325406,-0.25914257802349594,-0.2800705853816896,-0.23950156208045462
ATRI,-0.8895402184700284,0.6782635850011282,-0.8386787097663161,-0.6655268794705326,-0.9728143734771244,-0.8888735354474178,-0.8646312582473945,-0.9310810913284728,-0.699798921323038
BLIN,0.1837581381044713,0.10980907591321826,0.22108903063518343,0.1553014697690265,0.06440896154315733,0.1496793443765259,0.20520182312672405,0.13205368748593752,0.2694629825386187
ADXN,-0.3318491882570391,-0.12908504374392496,-0.4195418255780555,-0.3220644061272389,0.4717221858002232,0.1207664355925649,-0.38603589181812475,0.3824862074492698,-0.3239009819528639
AMS,0.4364844344764846,-0.22703588579744957,0.3662013765590777,0.3791135234107292,0.44324384022996327,0.4311771840204643,0.4320269796991956,0.4208155395056295,0.35646150899370527
